	name	link
0	Warlife_group	https://t.me/Warlife_group
1	gazaalannetgroup	https://t.me/gazaalannetgroup
2	Y5AYY	https://t.me/Y5AYY
3	Qsamyiie	https://t.me/Qsamyiie
4	shifamahmooudaljzzar	https://t.me/shifamahmooudaljzzar
5	zafatAls7ada	https://t.me/zafatAls7ada
6	elamgaza	https://t.me/elamgaza
7	a7rarfr3on	https://t.me/a7rarfr3on
8	abeeq_alshaheed	https://t.me/abeeq_alshaheed
9	Gazaniuzgaza	https://t.me/Gazaniuzgaza
10	wsrhg	https://t.me/wsrhg
11	zxcvvxvx	https://t.me/zxcvvxvx
12	hmas56	https://t.me/hmas56
13	ahfad_albahaa	https://t.me/ahfad_albahaa
14	ShababTulkarm3	https://t.me/ShababTulkarm3
15	a7rarfr3on	https://t.me/a7rarfr3on
16	tulkarmalrohm	https://t.me/tulkarmalrohm
17	gruopfalstine	https://t.me/gruopfalstine
18	shpsmvns	https://t.me/shpsmvns
19	alyazin1	https://t.me/alyazin1
20	SmartMediadiscussions	https://t.me/SmartMediadiscussions
21	fateh_1_1	https://t.me/fateh_1_1
22	talygat99	https://t.me/talygat99
23	Nsagj	https://t.me/Nsagj
24	zxz96699	https://t.me/zxz96699
25	Jenin_Corps	https://t.me/Jenin_Corps
26	aborakanalnahal1	https://t.me/aborakanalnahal1
27	sssisj	https://t.me/sssisj
28	gigairgp	https://t.me/gigairgp
